sexe;enfant_conduite_accompagne;usage_vehicule;type_vehicule;est_rouge;age_vehicule;date_demande;etat_dossier;formule;tarif_devis;Id_Anonyme;Info Enfants;Revenus_Tranche
F;0;Commercial;Panel Truck;no;15.0;31/03/2022 19:09;complet;dev_premium;513.79;2300;"""Non""";"""60k+"""
M;0;Private;Minivan;no;6.0;18/10/2019 08:08;complet;dev_vip;540.53;2301;"""Non""";"""40_60k"""
F;0;Private;z_SUV;no;15.0;09/03/2022 15:11;complet;dev_integral;293.6;2302;"""Non""";"""60k+"""
F;0;Private;Minivan;yes;7.0;14/10/2020 13:39;incomplet;dev_express;273.31;2303;"""Oui""";"""40_60k"""
F;0;Commercial;Minivan;no;1.0;21/06/2020 20:33;complet;dev_integral;310.82;2304;"""Non""";Non renseigné
F;0;Private;z_SUV;no;1.0;20/05/2021 05:47;complet;dev_express;255.52;2305;"""Non""";"""40_60k"""
F;0;Private;z_SUV;no;1.0;09/10/2021 00:26;complet;dev_express;252.07;2306;"""Non""";"""60k+"""
F;0;Private;z_SUV;no;10.0;15/11/2020 21:03;complet;dev_premium;473.59;2307;"""Non""";"""60k+"""
M;0;Private;Sports Car;no;6.0;05/04/2020 13:48;complet;dev_integral;293.02;2308;"""Oui""";"""20_40k"""
F;0;Private;Minivan;no;8.0;30/10/2021 11:35;complet;dev_vip;671.6;2309;"""Non""";"""40_60k"""
F;0;Commercial;Pickup;no;1.0;30/06/2020 23:42;complet;dev_integral;290.56;2310;"""Non""";"""0-20k"""
F;0;Private;z_SUV;no;6.0;12/03/2020 09:20;complet;dev_express;283.38;2311;"""Non""";"""60k+"""
F;0;Private;Sports Car;no;1.0;13/08/2021 00:55;complet;dev_premium;345.64;2312;"""Oui""";"""0-20k"""
F;0;Commercial;Pickup;no;13.0;24/11/2020 11:39;complet;dev_express;277.08;2313;"""Non""";"""60k+"""
M;0;Private;z_SUV;no;1.0;27/12/2019 16:02;incomplet;dev_integral;338.2;2314;"""Oui""";"""0-20k"""
M;0;Private;z_SUV;no;8.0;17/07/2019 00:50;incomplet;dev_integral;289.39;2315;"""Oui""";"""0-20k"""
F;0;Private;Sports Car;no;17.0;31/08/2020 11:15;complet;dev_integral;283.87;2316;"""Non""";"""60k+"""
M;3;Commercial;Panel Truck;no;5.0;27/05/2020 01:31;complet;dev_integral;333.95;2317;"""Oui""";"""40_60k"""
F;1;Private;Minivan;no;13.0;12/09/2021 14:32;complet;dev_integral;312.53;2318;"""Oui""";"""60k+"""
M;0;Private;Pickup;no;1.0;20/05/2019 20:05;complet;dev_integral;321.74;2319;"""Oui""";"""20_40k"""
M;0;Private;z_SUV;no;1.0;07/05/2022 11:43;complet;dev_integral;287.88;2320;"""Oui""";"""20_40k"""
F;2;Private;Minivan;no;6.0;22/08/2020 04:28;complet;dev_premium;497.96;2321;"""Oui""";"""0-20k"""
F;0;Commercial;Pickup;no;16.0;01/04/2021 07:00;complet;dev_integral;304.82;2322;"""Non""";Non renseigné
F;0;Private;z_SUV;no;6.0;12/11/2020 11:54;complet;dev_express;264.82;2323;"""Non""";"""20_40k"""
M;0;Private;Van;yes;8.0;28/03/2021 11:36;complet;dev_express;255.42;2324;"""Oui""";"""60k+"""
F;0;Private;z_SUV;no;1.0;13/01/2021 04:32;incomplet;dev_integral;283.52;2325;"""Non""";"""60k+"""
M;0;Private;Sports Car;no;1.0;10/07/2019 16:09;complet;dev_integral;328.66;2326;"""Non""";"""60k+"""
M;2;Private;Minivan;no;7.0;03/12/2019 20:44;complet;dev_integral;308.09;2327;"""Oui""";"""0-20k"""
M;0;Private;z_SUV;no;7.0;04/01/2020 23:24;incomplet;dev_express;257.09;2328;"""Non""";"""0-20k"""
M;0;Commercial;z_SUV;no;11.0;23/11/2021 18:40;complet;dev_express;256.9;2329;"""Oui""";"""60k+"""
M;0;Private;Sports Car;no;8.0;22/03/2021 11:14;incomplet;dev_integral;284.34;2330;"""Non""";"""60k+"""
M;2;Private;Pickup;yes;1.0;04/10/2021 01:11;complet;dev_premium;369.5;2331;"""Oui""";"""60k+"""
M;0;Private;z_SUV;no;19.0;19/01/2020 19:00;complet;dev_express;259.64;2332;"""Non""";"""60k+"""
M;0;Commercial;Pickup;no;7.0;26/06/2020 08:19;complet;dev_integral;302.92;2333;"""Oui""";"""20_40k"""
F;1;Commercial;Panel Truck;yes;15.0;25/04/2019 19:11;incomplet;dev_integral;329.72;2334;"""Oui""";"""60k+"""
M;0;Private;z_SUV;no;14.0;18/04/2021 15:03;complet;dev_express;279.7;2335;"""Oui""";"""40_60k"""
M;0;Private;Minivan;yes;20.0;09/02/2020 04:23;complet;dev_premium;428.76;2336;"""Non""";"""60k+"""
M;0;Private;Van;yes;;08/06/2019 00:35;complet;dev_express;282.26;2337;"""Non""";"""60k+"""
M;0;Private;z_SUV;no;8.0;15/08/2020 21:29;complet;dev_integral;286.79;2338;"""Oui""";"""0-20k"""
F;1;Private;z_SUV;no;1.0;09/09/2020 02:59;complet;dev_express;255.07;2339;"""Oui""";Non renseigné
F;0;Private;Minivan;yes;10.0;24/02/2022 02:03;complet;dev_integral;315.82;2340;"""Non""";"""60k+"""
F;0;Private;Sports Car;no;24.0;31/07/2021 03:00;complet;dev_integral;331.66;2341;"""Non""";"""60k+"""
F;0;Private;Minivan;no;15.0;24/05/2022 09:47;complet;dev_express;275.89;2342;"""Non""";"""60k+"""
F;0;Commercial;Pickup;yes;1.0;27/11/2019 06:36;complet;dev_premium;390.86;2343;"""Non""";"""20_40k"""
F;0;Private;z_SUV;no;1.0;11/09/2019 04:39;complet;dev_express;268.62;2344;"""Non""";"""0-20k"""
F;0;Private;z_SUV;no;6.0;11/09/2020 22:53;incomplet;dev_express;283.77;2345;"""Non""";"""20_40k"""
M;0;Private;z_SUV;no;18.0;29/11/2019 23:47;complet;dev_express;266.62;2346;"""Non""";"""60k+"""
M;1;Commercial;Pickup;no;;31/12/2020 14:48;complet;dev_express;269.2;2347;"""Oui""";"""40_60k"""
F;0;Private;Minivan;yes;13.0;05/12/2021 09:44;incomplet;dev_premium;506.89;2348;"""Non""";"""60k+"""
F;0;Private;Minivan;no;17.0;13/01/2021 20:41;complet;dev_integral;285.39;2349;"""Non""";"""0-20k"""
F;0;Private;z_SUV;no;1.0;17/02/2020 07:42;complet;dev_express;275.36;2350;"""Non""";"""0-20k"""
M;0;Commercial;Panel Truck;yes;;18/03/2020 11:18;complet;dev_integral;305.55;2351;"""Non""";"""60k+"""
M;0;Commercial;Pickup;yes;7.0;31/05/2019 11:48;complet;dev_express;254.68;2352;"""Non""";"""20_40k"""
M;0;Private;z_SUV;no;6.0;05/10/2019 20:24;incomplet;dev_integral;326.8;2353;"""Oui""";"""40_60k"""
M;0;Commercial;Pickup;no;1.0;23/11/2020 07:38;complet;dev_integral;303.42;2354;"""Non""";"""40_60k"""
F;0;Commercial;Van;no;13.0;26/01/2021 15:08;complet;dev_integral;297.28;2355;"""Non""";"""60k+"""
F;0;Private;z_SUV;no;;24/08/2020 09:21;incomplet;dev_integral;292.83;2356;"""Non""";"""40_60k"""
M;0;Private;z_SUV;no;1.0;11/11/2021 09:54;complet;dev_integral;317.09;2357;"""Oui""";"""20_40k"""
M;0;Private;z_SUV;no;;07/04/2020 11:38;complet;dev_integral;336.85;2358;"""Non""";Non renseigné
M;0;Private;z_SUV;no;1.0;13/11/2020 11:47;incomplet;dev_express;253.38;2359;"""Non""";"""60k+"""
F;0;Private;Minivan;no;3.0;02/05/2019 17:27;incomplet;dev_integral;303.76;2360;"""Non""";Non renseigné
M;0;Commercial;Panel Truck;yes;5.0;07/08/2019 00:41;complet;dev_integral;315.66;2361;"""Non""";"""20_40k"""
F;1;Commercial;z_SUV;no;10.0;08/04/2019 13:24;complet;dev_integral;321.13;2362;"""Oui""";"""0-20k"""
F;1;Private;z_SUV;no;11.0;20/04/2019 15:09;complet;dev_integral;330.36;2363;"""Oui""";"""60k+"""
F;0;Private;Sports Car;no;6.0;21/06/2019 23:13;complet;dev_express;270.58;2364;"""Non""";"""0-20k"""
F;0;Private;Sports Car;no;9.0;27/02/2021 23:53;complet;dev_premium;408.0;2365;"""Non""";"""0-20k"""
M;0;Private;Minivan;no;16.0;08/12/2020 08:42;complet;dev_express;274.83;2366;"""Non""";"""60k+"""
F;0;Commercial;Pickup;yes;7.0;27/06/2020 07:23;complet;dev_premium;461.69;2367;"""Non""";"""0-20k"""
M;1;Commercial;z_SUV;no;6.0;20/01/2020 05:59;complet;dev_express;279.31;2368;"""Oui""";"""0-20k"""
F;0;Commercial;Sports Car;no;1.0;18/12/2020 08:14;incomplet;dev_vip;916.1;2369;"""Oui""";"""60k+"""
F;0;Private;Van;yes;1.0;16/05/2019 10:15;complet;dev_premium;500.0;2370;"""Non""";"""20_40k"""
F;0;Commercial;z_SUV;no;9.0;11/07/2021 01:52;complet;dev_express;251.92;2371;"""Non""";"""20_40k"""
M;0;Private;Minivan;no;12.0;09/06/2020 14:17;complet;dev_express;267.45;2372;"""Non""";"""60k+"""
F;0;Private;z_SUV;no;8.0;05/09/2019 05:57;complet;dev_integral;330.33;2373;"""Non""";Non renseigné
F;2;Commercial;Minivan;no;6.0;25/10/2019 11:06;complet;dev_premium;389.49;2374;"""Oui""";"""0-20k"""
F;1;Private;z_SUV;no;6.0;06/05/2019 15:37;complet;dev_express;259.39;2375;"""Oui""";"""40_60k"""
M;0;Commercial;z_SUV;no;7.0;25/02/2022 23:45;complet;dev_express;283.32;2376;"""Non""";"""60k+"""
M;0;Private;Minivan;no;1.0;01/12/2019 07:46;complet;dev_integral;331.84;2377;"""Oui""";"""60k+"""
F;0;Commercial;Panel Truck;yes;1.0;20/12/2019 16:49;complet;dev_integral;319.71;2378;"""Non""";"""0-20k"""
F;0;Commercial;Pickup;no;1.0;30/01/2020 16:06;complet;dev_premium;469.48;2379;"""Non""";"""0-20k"""
F;0;Commercial;Van;no;11.0;17/07/2021 10:55;incomplet;dev_integral;288.48;2380;"""Non""";"""60k+"""
F;0;Commercial;Pickup;yes;16.0;26/06/2021 01:44;complet;dev_integral;310.38;2381;"""Non""";"""60k+"""
M;0;Private;Minivan;no;19.0;23/08/2019 02:36;complet;dev_express;270.6;2382;"""Non""";"""20_40k"""
F;0;Private;Van;yes;15.0;14/02/2020 06:08;complet;dev_express;262.53;2383;"""Oui""";"""60k+"""
F;0;Private;Pickup;yes;1.0;07/06/2020 13:47;incomplet;dev_premium;514.97;2384;"""Non""";Non renseigné
M;0;Commercial;z_SUV;no;1.0;31/07/2021 13:49;complet;dev_express;280.85;2385;"""Non""";"""60k+"""
M;0;Commercial;Panel Truck;yes;11.0;05/12/2019 22:19;complet;dev_vip;714.18;2386;"""Non""";"""20_40k"""
F;0;Private;Minivan;yes;1.0;06/03/2020 18:14;complet;dev_premium;354.54;2387;"""Oui""";"""60k+"""
M;0;Private;Minivan;yes;9.0;10/02/2020 13:54;complet;dev_integral;321.68;2388;"""Non""";"""60k+"""
F;0;Private;z_SUV;no;10.0;15/12/2019 11:51;incomplet;dev_premium;459.99;2389;"""Non""";"""40_60k"""
F;0;Private;Sports Car;no;1.0;20/09/2021 03:14;complet;dev_integral;331.94;2390;"""Non""";Non renseigné
M;0;Private;Minivan;yes;15.0;06/06/2020 01:39;complet;dev_premium;535.78;2391;"""Non""";"""60k+"""
F;0;Private;z_SUV;no;3.0;02/08/2019 21:55;incomplet;dev_integral;297.56;2392;"""Non""";"""60k+"""
F;0;Commercial;z_SUV;no;8.0;26/07/2021 10:33;complet;dev_express;259.7;2393;"""Non""";"""40_60k"""
F;0;Commercial;Pickup;yes;11.0;29/03/2022 07:38;complet;dev_express;278.57;2394;"""Non""";"""0-20k"""
M;0;Commercial;Panel Truck;yes;12.0;13/09/2019 23:17;complet;dev_express;280.02;2395;"""Non""";"""60k+"""
F;1;Private;z_SUV;no;4.0;10/03/2021 19:48;complet;dev_express;250.58;2396;"""Oui""";"""0-20k"""
F;1;Private;Sports Car;no;12.0;10/05/2022 14:59;complet;dev_express;278.88;2397;"""Oui""";"""60k+"""
M;0;Private;Minivan;no;12.0;15/07/2021 19:30;incomplet;dev_premium;453.02;2398;"""Oui""";"""40_60k"""
F;0;Private;Pickup;yes;16.0;22/12/2019 06:10;complet;dev_express;270.38;2399;"""Non""";"""60k+"""
M;0;Private;z_SUV;no;12.0;14/07/2020 01:37;complet;dev_express;261.98;2400;"""Non""";"""60k+"""
M;2;Private;Minivan;no;4.0;22/02/2021 09:30;complet;dev_express;264.0;2401;"""Oui""";"""60k+"""
M;1;Private;z_SUV;no;6.0;22/07/2021 05:36;complet;dev_premium;454.54;2402;"""Oui""";"""40_60k"""
M;0;Private;Minivan;no;1.0;24/10/2019 03:02;complet;dev_premium;438.06;2403;"""Non""";"""40_60k"""
M;0;Commercial;Van;no;11.0;29/01/2020 10:16;complet;dev_integral;282.5;2404;"""Non""";"""60k+"""
F;2;Commercial;Minivan;yes;9.0;05/05/2021 16:28;complet;dev_express;279.12;2405;"""Oui""";"""60k+"""
F;0;Private;z_SUV;no;6.0;16/02/2020 10:40;complet;dev_express;279.64;2406;"""Oui""";"""0-20k"""
M;0;Private;z_SUV;no;4.0;30/04/2021 22:28;complet;dev_integral;332.04;2407;"""Non""";"""40_60k"""
F;0;Commercial;Sports Car;no;1.0;01/06/2021 06:58;complet;dev_integral;297.17;2408;"""Oui""";"""0-20k"""
M;0;Private;z_SUV;no;5.0;14/05/2022 19:19;complet;dev_integral;294.07;2409;"""Oui""";"""40_60k"""
F;0;Commercial;z_SUV;no;1.0;20/01/2021 17:54;complet;dev_express;256.88;2410;"""Non""";"""40_60k"""
M;0;Commercial;Van;yes;15.0;06/03/2021 07:20;complet;dev_express;269.85;2411;"""Non""";"""60k+"""
M;0;Commercial;Pickup;yes;8.0;02/06/2021 21:17;complet;dev_express;279.92;2412;"""Oui""";"""0-20k"""
M;0;Private;Minivan;yes;14.0;12/08/2021 21:08;complet;dev_integral;317.07;2413;"""Non""";"""20_40k"""
F;0;Private;z_SUV;no;15.0;08/07/2021 16:53;complet;dev_express;271.51;2414;"""Oui""";"""60k+"""
F;0;Private;Van;yes;12.0;19/01/2022 01:48;complet;dev_integral;287.36;2415;"""Non""";Non renseigné
M;0;Private;z_SUV;no;1.0;12/12/2019 18:33;complet;dev_integral;336.27;2416;"""Oui""";"""0-20k"""
F;0;Private;z_SUV;no;8.0;04/02/2021 02:56;complet;dev_integral;327.49;2417;"""Non""";"""0-20k"""
F;0;Commercial;Pickup;yes;14.0;22/02/2021 11:27;complet;dev_premium;328.22;2418;"""Non""";"""60k+"""
F;0;Commercial;Panel Truck;no;9.0;10/07/2019 00:40;complet;dev_express;269.98;2419;"""Non""";"""60k+"""
M;0;Private;Minivan;yes;24.0;07/06/2021 05:55;complet;dev_integral;337.29;2420;"""Oui""";"""40_60k"""
M;2;Commercial;Pickup;no;7.0;27/05/2022 14:41;complet;dev_premium;444.12;2421;"""Oui""";"""60k+"""
F;0;Private;z_SUV;no;1.0;27/10/2021 03:09;complet;dev_integral;335.95;2422;"""Oui""";"""40_60k"""
M;0;Commercial;Panel Truck;yes;1.0;24/06/2021 16:15;complet;dev_express;257.34;2423;"""Non""";"""60k+"""
F;0;Private;z_SUV;no;8.0;31/01/2021 11:16;incomplet;dev_integral;317.73;2424;"""Non""";"""20_40k"""
M;0;Commercial;Panel Truck;yes;13.0;16/10/2021 19:28;complet;dev_express;281.34;2425;"""Non""";"""60k+"""
F;0;Commercial;Panel Truck;no;15.0;24/08/2021 14:46;complet;dev_integral;292.99;2426;"""Non""";"""60k+"""
F;0;Private;Minivan;no;9.0;09/09/2020 02:04;complet;dev_express;250.6;2427;"""Non""";"""0-20k"""
M;0;Commercial;Van;yes;1.0;13/01/2022 11:51;complet;dev_integral;327.96;2428;"""Oui""";"""0-20k"""
M;0;Private;z_SUV;no;19.0;20/11/2020 07:25;complet;dev_integral;316.59;2429;"""Non""";"""60k+"""
F;2;Private;Sports Car;no;;10/02/2020 07:34;incomplet;dev_integral;319.05;2430;"""Oui""";"""0-20k"""
F;0;Private;Minivan;no;15.0;25/10/2021 10:06;complet;dev_integral;285.13;2431;"""Non""";"""40_60k"""
M;0;Private;Pickup;yes;10.0;08/04/2022 01:47;complet;dev_integral;324.54;2432;"""Non""";"""20_40k"""
M;0;Commercial;Pickup;no;14.0;12/07/2021 22:27;complet;dev_integral;304.92;2433;"""Non""";"""40_60k"""
M;1;Commercial;Minivan;yes;11.0;30/11/2019 19:18;complet;dev_integral;308.24;2434;"""Oui""";Non renseigné
F;0;Private;Sports Car;no;10.0;05/11/2020 02:56;complet;dev_integral;280.2;2435;"""Oui""";"""0-20k"""
M;0;Commercial;Panel Truck;no;16.0;13/10/2020 16:01;complet;dev_express;282.03;2436;"""Oui""";"""60k+"""
F;0;Private;Minivan;yes;12.0;02/06/2020 00:57;complet;dev_express;282.33;2437;"""Non""";"""60k+"""
M;0;Commercial;Pickup;no;4.0;02/03/2020 18:46;complet;dev_premium;327.03;2438;"""Non""";"""40_60k"""
F;0;Private;Sports Car;no;13.0;01/10/2020 15:14;complet;dev_integral;328.59;2439;"""Non""";"""60k+"""
F;2;Commercial;Pickup;yes;1.0;01/03/2020 17:28;complet;dev_express;269.87;2440;"""Oui""";"""0-20k"""
F;0;Commercial;Pickup;yes;19.0;03/05/2019 04:44;complet;dev_integral;315.27;2441;"""Non""";"""20_40k"""
F;0;Commercial;Pickup;no;16.0;26/06/2021 10:45;complet;dev_express;267.58;2442;"""Non""";"""60k+"""
F;0;Private;z_SUV;no;6.0;05/08/2021 08:47;complet;dev_express;261.55;2443;"""Non""";"""0-20k"""
F;1;Private;Minivan;yes;;16/03/2021 11:20;complet;dev_premium;422.79;2444;"""Oui""";"""60k+"""
F;0;Commercial;Van;no;13.0;10/01/2021 17:48;complet;dev_premium;484.74;2445;"""Non""";"""60k+"""
F;0;Commercial;Panel Truck;no;1.0;07/06/2021 04:31;incomplet;dev_express;262.29;2446;"""Oui""";Non renseigné
F;0;Private;Minivan;no;15.0;26/04/2022 15:04;complet;dev_integral;282.0;2447;"""Non""";"""60k+"""
F;0;Commercial;Panel Truck;no;15.0;18/11/2020 02:46;complet;dev_integral;309.76;2448;"""Oui""";"""60k+"""
M;0;Commercial;Pickup;yes;12.0;11/12/2021 03:58;complet;dev_express;265.48;2449;"""Non""";"""60k+"""
F;0;Private;z_SUV;no;1.0;25/08/2020 11:44;complet;dev_express;277.99;2450;"""Non""";"""0-20k"""
F;0;Private;Pickup;no;13.0;16/09/2020 17:26;complet;dev_integral;339.52;2451;"""Non""";"""40_60k"""
M;0;Private;z_SUV;no;1.0;08/11/2021 19:50;complet;dev_integral;313.05;2452;"""Non""";"""40_60k"""
F;0;Private;Minivan;no;8.0;01/04/2021 06:42;complet;dev_integral;284.62;2453;"""Non""";"""60k+"""
F;0;Private;Sports Car;yes;1.0;29/08/2021 19:00;incomplet;dev_express;282.24;2454;"""Non""";"""20_40k"""
M;3;Commercial;Panel Truck;yes;25.0;01/04/2020 14:03;complet;dev_express;267.41;2455;"""Oui""";"""60k+"""
M;0;Commercial;Panel Truck;no;1.0;06/04/2021 04:09;incomplet;dev_integral;290.58;2456;"""Non""";"""60k+"""
M;0;Commercial;Panel Truck;no;7.0;14/01/2021 14:38;complet;dev_integral;314.91;2457;"""Non""";"""60k+"""
M;1;Commercial;Van;no;1.0;26/11/2021 08:43;complet;dev_express;283.16;2458;"""Oui""";"""0-20k"""
M;0;Private;z_SUV;no;20.0;30/01/2022 17:15;complet;dev_integral;304.82;2459;"""Non""";"""60k+"""
F;0;Commercial;z_SUV;no;1.0;30/11/2020 10:57;complet;dev_express;279.89;2460;"""Oui""";"""20_40k"""
F;0;Private;Sports Car;no;16.0;26/11/2019 04:18;complet;dev_integral;331.58;2461;"""Non""";"""60k+"""
M;1;Commercial;Panel Truck;yes;17.0;20/01/2020 20:04;incomplet;dev_integral;323.62;2462;"""Oui""";"""60k+"""
F;0;Private;Minivan;yes;1.0;03/05/2019 06:31;complet;dev_integral;338.02;2463;"""Oui""";Non renseigné
F;2;Private;Pickup;no;13.0;23/07/2021 12:28;incomplet;dev_integral;323.68;2464;"""Oui""";"""40_60k"""
M;2;Private;Sports Car;no;1.0;11/10/2021 13:07;complet;dev_integral;330.93;2465;"""Oui""";"""40_60k"""
M;0;Commercial;Van;no;15.0;21/06/2019 20:05;complet;dev_express;269.99;2466;"""Non""";"""60k+"""
F;0;Commercial;z_SUV;no;12.0;18/05/2022 05:21;complet;dev_express;265.76;2467;"""Non""";"""40_60k"""
M;0;Private;Pickup;yes;6.0;28/12/2019 08:09;incomplet;dev_integral;287.57;2468;"""Non""";"""20_40k"""
M;0;Private;Van;yes;1.0;12/06/2020 10:43;complet;dev_express;257.61;2469;"""Non""";"""60k+"""
M;0;Private;Minivan;yes;16.0;21/07/2020 08:13;complet;dev_integral;322.09;2470;"""Non""";"""60k+"""
F;0;Private;Pickup;yes;1.0;13/08/2020 19:29;complet;dev_integral;338.48;2471;"""Non""";"""0-20k"""
M;0;Private;z_SUV;no;14.0;11/11/2020 02:11;complet;dev_express;275.0;2472;"""Non""";"""20_40k"""
M;0;Commercial;Sports Car;no;1.0;18/12/2019 04:07;complet;dev_integral;309.26;2473;"""Oui""";"""40_60k"""
M;0;Private;z_SUV;no;1.0;12/05/2021 09:22;complet;dev_express;281.76;2474;"""Non""";"""20_40k"""
M;0;Commercial;Minivan;no;6.0;27/01/2022 08:09;complet;dev_premium;408.4;2475;"""Non""";"""40_60k"""
M;0;Commercial;Van;yes;9.0;07/10/2019 10:40;complet;dev_integral;295.93;2476;"""Non""";"""60k+"""
F;0;Commercial;z_SUV;no;1.0;04/06/2021 10:20;complet;dev_express;281.34;2477;"""Non""";"""20_40k"""
M;0;Private;Minivan;no;11.0;23/12/2019 06:44;complet;dev_premium;434.07;2478;"""Non""";"""60k+"""
M;0;Commercial;Panel Truck;no;1.0;21/11/2020 10:04;complet;dev_integral;292.35;2479;"""Oui""";"""60k+"""
M;0;Private;Sports Car;no;8.0;25/07/2020 07:46;complet;dev_express;253.62;2480;"""Non""";"""20_40k"""
F;0;Private;z_SUV;no;1.0;06/07/2019 15:23;incomplet;dev_express;258.39;2481;"""Non""";"""0-20k"""
M;0;Private;Sports Car;no;1.0;19/08/2021 19:19;complet;dev_integral;333.19;2482;"""Non""";"""60k+"""
F;0;Private;Van;yes;18.0;13/02/2022 22:32;complet;dev_express;270.45;2483;"""Non""";"""60k+"""
M;0;Private;Sports Car;no;1.0;07/04/2020 10:07;complet;dev_express;273.99;2484;"""Non""";"""60k+"""
M;0;Private;Minivan;no;12.0;08/12/2020 10:04;complet;dev_integral;307.61;2485;"""Non""";"""60k+"""
F;1;Commercial;z_SUV;no;;03/04/2020 13:09;incomplet;dev_premium;455.28;2486;"""Oui""";"""60k+"""
F;0;Private;Pickup;no;1.0;14/11/2020 11:02;complet;dev_integral;302.19;2487;"""Non""";"""40_60k"""
M;0;Private;Minivan;no;14.0;10/08/2019 11:04;complet;dev_integral;320.14;2488;"""Non""";Non renseigné
M;0;Private;Sports Car;no;6.0;08/06/2020 13:42;incomplet;dev_express;278.37;2489;"""Oui""";"""0-20k"""
M;0;Private;Pickup;yes;14.0;14/05/2020 19:10;complet;dev_integral;289.55;2490;"""Non""";"""60k+"""
M;0;Private;z_SUV;no;1.0;04/08/2020 17:09;complet;dev_integral;319.36;2491;"""Non""";Non renseigné
F;1;Private;Minivan;yes;19.0;04/04/2021 11:51;complet;dev_integral;287.54;2492;"""Oui""";"""60k+"""
M;0;Commercial;Minivan;yes;1.0;11/08/2019 13:24;incomplet;dev_express;283.73;2493;"""Non""";"""40_60k"""
M;0;Private;Minivan;no;8.0;26/04/2022 23:23;complet;dev_integral;324.01;2494;"""Non""";"""20_40k"""
M;0;Private;z_SUV;no;13.0;30/10/2019 11:44;incomplet;dev_integral;299.47;2495;"""Non""";"""20_40k"""
M;0;Commercial;Van;yes;;26/05/2022 00:20;complet;dev_premium;496.66;2496;"""Oui""";"""60k+"""
F;1;Private;z_SUV;no;10.0;20/06/2019 22:01;complet;dev_integral;307.96;2497;"""Oui""";"""60k+"""
M;0;Commercial;Pickup;no;1.0;27/04/2021 11:02;complet;dev_integral;286.97;2498;"""Oui""";"""20_40k"""
M;0;Private;z_SUV;no;1.0;04/11/2021 05:31;incomplet;dev_premium;418.14;2499;"""Oui""";"""0-20k"""
M;0;Commercial;Pickup;no;;30/08/2021 03:10;complet;dev_express;257.43;2500;"""Non""";"""60k+"""
F;0;Commercial;Sports Car;no;1.0;28/05/2020 06:10;complet;dev_premium;518.42;2501;"""Non""";Non renseigné
F;0;Commercial;Pickup;yes;9.0;12/02/2021 05:33;incomplet;dev_express;273.95;2502;"""Non""";"""40_60k"""
M;0;Private;z_SUV;no;13.0;05/11/2021 09:09;incomplet;dev_integral;281.35;2503;"""Oui""";"""60k+"""
M;0;Commercial;Van;no;1.0;07/05/2020 08:36;complet;dev_express;270.51;2504;"""Oui""";Non renseigné
M;0;Private;Sports Car;no;1.0;28/12/2019 21:58;complet;dev_express;270.32;2505;"""Non""";"""20_40k"""
F;0;Private;Minivan;no;10.0;11/05/2022 11:53;incomplet;dev_integral;320.8;2506;"""Non""";"""60k+"""
F;0;Private;z_SUV;no;7.0;01/05/2021 16:22;complet;dev_premium;330.7;2507;"""Non""";"""60k+"""
M;0;Private;Minivan;no;16.0;06/02/2022 07:26;complet;dev_integral;311.46;2508;"""Oui""";Non renseigné
M;1;Private;Minivan;no;1.0;15/08/2021 15:16;complet;dev_integral;315.27;2509;"""Oui""";"""60k+"""
F;1;Private;Minivan;no;5.0;05/02/2022 06:43;complet;dev_express;264.18;2510;"""Oui""";"""20_40k"""
M;2;Private;Minivan;no;6.0;18/10/2021 17:52;complet;dev_express;267.46;2511;"""Oui""";"""60k+"""
F;0;Private;Minivan;yes;1.0;26/03/2022 06:02;complet;dev_premium;450.47;2512;"""Non""";"""0-20k"""
F;1;Commercial;Van;no;11.0;18/12/2021 19:22;complet;dev_express;254.32;2513;"""Oui""";"""60k+"""
F;0;Commercial;Pickup;yes;7.0;01/01/2020 03:33;complet;dev_express;259.92;2514;"""Non""";"""20_40k"""
F;0;Commercial;Panel Truck;no;10.0;14/02/2022 17:36;complet;dev_express;251.35;2515;"""Non""";"""40_60k"""
F;0;Private;z_SUV;no;5.0;17/12/2019 18:53;complet;dev_express;267.24;2516;"""Non""";Non renseigné
F;0;Private;Minivan;no;1.0;17/08/2020 23:11;complet;dev_integral;287.44;2517;"""Oui""";"""0-20k"""
F;0;Private;Minivan;no;11.0;06/11/2019 15:47;complet;dev_integral;323.78;2518;"""Non""";"""60k+"""
M;0;Commercial;Sports Car;no;1.0;05/06/2021 08:48;complet;dev_integral;319.83;2519;"""Oui""";"""60k+"""
F;0;Private;Pickup;no;;17/05/2020 07:10;complet;dev_express;282.17;2520;"""Non""";"""60k+"""
M;0;Private;Minivan;yes;9.0;07/12/2020 15:32;complet;dev_integral;337.72;2521;"""Non""";"""60k+"""
M;0;Private;Minivan;yes;12.0;30/05/2020 10:26;incomplet;dev_express;265.72;2522;"""Non""";"""60k+"""
F;0;Commercial;Panel Truck;no;8.0;17/04/2022 16:52;complet;dev_integral;339.54;2523;"""Non""";"""60k+"""
F;0;Commercial;Panel Truck;yes;8.0;30/03/2021 13:37;complet;dev_express;275.21;2524;"""Non""";"""60k+"""
M;0;Private;Pickup;yes;1.0;13/04/2019 15:11;complet;dev_integral;281.15;2525;"""Non""";"""20_40k"""
M;0;Private;Minivan;yes;7.0;18/01/2020 02:11;complet;dev_express;251.86;2526;"""Non""";"""60k+"""
